# Version 1.0
# Data Data_CMS_PbPb5020_RAACharged_0to10_2017.dat
# Design Design.dat
2.570000000000000062e-01 6.199999999999999956e-01 8.659999999999999643e-02 8.019999999999999352e-02 1.340000000000000080e-01 7.620000000000000107e-01 4.129999999999999782e-01 5.949999999999999734e-01 2.149999999999999967e-01 3.079999999999999960e-01 1.019999999999999934e-01 4.560000000000000164e-01 1.199999999999999956e-01 2.200000000000000011e-01 2.760000000000000231e-01 7.879999999999999505e-02 1.799999999999999933e-01 2.859999999999999765e-01 2.570000000000000062e-01 9.679999999999999716e-01 1.839999999999999969e-01 1.680000000000000104e-01 5.280000000000000249e-01 1.819999999999999951e-01 1.920000000000000049e-03 7.520000000000000018e-01 2.770000000000000240e-01 1.539999999999999980e-01 3.990000000000000213e-01 9.189999999999999558e-02 5.739999999999999547e-01 3.150000000000000022e-01 1.809999999999999942e-01 5.969999999999999751e-01 9.379999999999999449e-01 5.580000000000000515e-01 3.430000000000000271e-01 7.369999999999999885e-01 1.660000000000000087e-01 7.540000000000000036e-01 3.290000000000000147e-01 1.890000000000000013e-01 8.100000000000000533e-01 5.999999999999999778e-01 2.610000000000000098e-01 2.230000000000000038e-01 1.869999999999999996e-01 1.690000000000000113e-01 5.040000000000000036e-01 1.700000000000000122e-01 2.570000000000000062e-01 2.119999999999999940e-01 8.719999999999999973e-02 1.049999999999999961e-01 1.650000000000000078e-01 7.870000000000000329e-01 8.999999999999999754e-04 1.049999999999999961e-01 4.050000000000000266e-01 1.439999999999999891e-01 1.010000000000000064e-01 8.619999999999999885e-02 1.100000000000000006e-01 1.069999999999999979e-01 1.189999999999999947e-01 3.029999999999999916e-01 5.759999999999999842e-02 1.660000000000000087e-01 3.240000000000000102e-01 1.700000000000000122e-01 1.100000000000000006e-01 1.859999999999999987e-01 1.849999999999999978e-01 1.400000000000000133e-01 1.449999999999999900e-01 1.970000000000000084e-01 2.320000000000000118e-01 2.000000000000000111e-01 1.970000000000000084e-01 1.930000000000000049e-01 1.650000000000000078e-01
2.959999999999999853e-01 6.440000000000000169e-01 1.059999999999999970e-01 9.919999999999999651e-02 1.570000000000000007e-01 7.630000000000000115e-01 4.089999999999999747e-01 5.809999999999999609e-01 2.290000000000000091e-01 3.230000000000000093e-01 1.280000000000000027e-01 4.660000000000000253e-01 1.320000000000000062e-01 2.280000000000000082e-01 3.009999999999999898e-01 9.529999999999999583e-02 1.960000000000000075e-01 2.889999999999999791e-01 2.530000000000000027e-01 9.629999999999999671e-01 2.149999999999999967e-01 1.910000000000000031e-01 5.270000000000000240e-01 2.000000000000000111e-01 1.979999999999999989e-03 7.680000000000000160e-01 2.929999999999999827e-01 1.769999999999999907e-01 4.199999999999999845e-01 1.170000000000000068e-01 5.749999999999999556e-01 3.140000000000000013e-01 2.030000000000000138e-01 6.229999999999999982e-01 9.579999999999999627e-01 5.769999999999999574e-01 3.420000000000000262e-01 7.590000000000000080e-01 1.759999999999999898e-01 7.369999999999999885e-01 3.390000000000000235e-01 1.819999999999999951e-01 8.020000000000000462e-01 5.939999999999999725e-01 2.879999999999999782e-01 2.399999999999999911e-01 2.089999999999999913e-01 1.930000000000000049e-01 5.410000000000000364e-01 1.859999999999999987e-01 2.700000000000000178e-01 2.320000000000000118e-01 1.100000000000000006e-01 1.179999999999999938e-01 1.700000000000000122e-01 7.900000000000000355e-01 5.860000000000000408e-04 1.219999999999999973e-01 3.549999999999999822e-01 1.549999999999999989e-01 1.229999999999999982e-01 1.039999999999999952e-01 1.330000000000000071e-01 1.310000000000000053e-01 1.419999999999999873e-01 3.200000000000000067e-01 7.399999999999999634e-02 1.910000000000000031e-01 3.250000000000000111e-01 1.890000000000000013e-01 1.280000000000000027e-01 2.069999999999999896e-01 2.099999999999999922e-01 1.670000000000000095e-01 1.700000000000000122e-01 2.139999999999999958e-01 2.590000000000000080e-01 2.099999999999999922e-01 2.169999999999999984e-01 2.190000000000000002e-01 1.849999999999999978e-01
3.220000000000000084e-01 6.670000000000000373e-01 1.280000000000000027e-01 1.260000000000000009e-01 1.890000000000000013e-01 8.010000000000000453e-01 4.060000000000000275e-01 6.229999999999999982e-01 2.570000000000000062e-01 3.170000000000000040e-01 1.570000000000000007e-01 5.260000000000000231e-01 1.620000000000000051e-01 2.580000000000000071e-01 3.499999999999999778e-01 1.239999999999999991e-01 2.190000000000000002e-01 3.039999999999999925e-01 2.939999999999999836e-01 1.010000000000000009e+00 2.580000000000000071e-01 2.139999999999999958e-01 4.929999999999999938e-01 2.250000000000000056e-01 1.410000000000000012e-03 7.730000000000000204e-01 3.360000000000000209e-01 1.980000000000000093e-01 4.949999999999999956e-01 1.439999999999999891e-01 5.969999999999999751e-01 3.340000000000000191e-01 2.320000000000000118e-01 6.520000000000000240e-01 9.909999999999999920e-01 5.699999999999999512e-01 3.400000000000000244e-01 8.080000000000000515e-01 1.960000000000000075e-01 7.980000000000000426e-01 3.609999999999999876e-01 2.069999999999999896e-01 8.149999999999999467e-01 6.430000000000000160e-01 2.949999999999999845e-01 2.660000000000000142e-01 2.439999999999999947e-01 2.250000000000000056e-01 5.649999999999999467e-01 2.290000000000000091e-01 2.849999999999999756e-01 2.610000000000000098e-01 1.270000000000000018e-01 1.429999999999999882e-01 1.950000000000000067e-01 8.760000000000000009e-01 1.340000000000000045e-03 1.509999999999999953e-01 3.489999999999999769e-01 1.729999999999999871e-01 1.539999999999999980e-01 1.280000000000000027e-01 1.640000000000000069e-01 1.779999999999999916e-01 1.759999999999999898e-01 3.709999999999999964e-01 9.829999999999999849e-02 2.240000000000000047e-01 3.380000000000000226e-01 2.230000000000000038e-01 1.509999999999999953e-01 2.439999999999999947e-01 2.540000000000000036e-01 1.980000000000000093e-01 1.950000000000000067e-01 2.429999999999999938e-01 2.819999999999999729e-01 2.540000000000000036e-01 2.469999999999999973e-01 2.369999999999999885e-01 2.280000000000000082e-01
3.649999999999999911e-01 6.899999999999999467e-01 1.630000000000000060e-01 1.600000000000000033e-01 2.159999999999999976e-01 8.519999999999999796e-01 4.060000000000000275e-01 6.490000000000000213e-01 2.949999999999999845e-01 3.659999999999999920e-01 1.880000000000000004e-01 5.300000000000000266e-01 1.960000000000000075e-01 2.740000000000000213e-01 3.780000000000000027e-01 1.630000000000000060e-01 2.560000000000000053e-01 3.069999999999999951e-01 3.360000000000000209e-01 9.989999999999999991e-01 3.019999999999999907e-01 2.359999999999999876e-01 4.919999999999999929e-01 2.770000000000000240e-01 1.319999999999999993e-03 8.020000000000000462e-01 3.639999999999999902e-01 2.250000000000000056e-01 5.150000000000000133e-01 1.930000000000000049e-01 6.239999999999999991e-01 3.300000000000000155e-01 2.730000000000000204e-01 6.520000000000000240e-01 9.799999999999999822e-01 5.889999999999999680e-01 3.729999999999999982e-01 8.129999999999999449e-01 2.250000000000000056e-01 7.770000000000000240e-01 3.790000000000000036e-01 2.429999999999999938e-01 8.499999999999999778e-01 6.590000000000000302e-01 3.240000000000000102e-01 2.939999999999999836e-01 2.750000000000000222e-01 2.620000000000000107e-01 5.949999999999999734e-01 2.600000000000000089e-01 3.029999999999999916e-01 2.939999999999999836e-01 1.559999999999999998e-01 1.690000000000000113e-01 2.190000000000000002e-01 8.279999999999999583e-01 6.189999999999999756e-04 1.779999999999999916e-01 3.109999999999999987e-01 2.010000000000000120e-01 1.970000000000000084e-01 1.660000000000000087e-01 2.069999999999999896e-01 2.030000000000000138e-01 2.169999999999999984e-01 4.209999999999999853e-01 1.229999999999999982e-01 2.690000000000000169e-01 3.549999999999999822e-01 2.570000000000000062e-01 1.960000000000000075e-01 2.690000000000000169e-01 2.879999999999999782e-01 2.349999999999999867e-01 2.340000000000000135e-01 2.859999999999999765e-01 3.290000000000000147e-01 2.929999999999999827e-01 2.959999999999999853e-01 2.730000000000000204e-01 2.550000000000000044e-01
3.970000000000000195e-01 7.219999999999999751e-01 1.900000000000000022e-01 1.900000000000000022e-01 2.590000000000000080e-01 9.050000000000000266e-01 4.259999999999999898e-01 6.530000000000000249e-01 3.260000000000000120e-01 3.810000000000000053e-01 2.220000000000000029e-01 5.290000000000000258e-01 2.330000000000000127e-01 3.059999999999999942e-01 4.040000000000000258e-01 1.980000000000000093e-01 2.839999999999999747e-01 3.529999999999999805e-01 3.589999999999999858e-01 1.010000000000000009e+00 3.290000000000000147e-01 2.630000000000000115e-01 4.859999999999999876e-01 2.929999999999999827e-01 1.529999999999999893e-03 7.890000000000000346e-01 4.000000000000000222e-01 2.560000000000000053e-01 5.340000000000000302e-01 2.230000000000000038e-01 6.310000000000000053e-01 3.439999999999999725e-01 3.049999999999999933e-01 6.600000000000000311e-01 9.639999999999999680e-01 5.949999999999999734e-01 3.840000000000000080e-01 8.269999999999999574e-01 2.500000000000000000e-01 7.319999999999999840e-01 4.020000000000000240e-01 2.760000000000000231e-01 8.429999999999999716e-01 6.560000000000000275e-01 3.410000000000000253e-01 3.310000000000000164e-01 3.059999999999999942e-01 2.889999999999999791e-01 6.440000000000000169e-01 2.879999999999999782e-01 3.270000000000000129e-01 3.240000000000000102e-01 1.960000000000000075e-01 2.010000000000000120e-01 2.570000000000000062e-01 8.830000000000000071e-01 8.229999999999999469e-04 2.079999999999999905e-01 3.019999999999999907e-01 2.270000000000000073e-01 2.270000000000000073e-01 2.049999999999999878e-01 2.330000000000000127e-01 2.399999999999999911e-01 2.489999999999999991e-01 4.359999999999999987e-01 1.469999999999999918e-01 3.079999999999999960e-01 3.689999999999999947e-01 2.949999999999999845e-01 2.310000000000000109e-01 3.039999999999999925e-01 3.250000000000000111e-01 2.730000000000000204e-01 2.690000000000000169e-01 3.210000000000000075e-01 3.639999999999999902e-01 3.250000000000000111e-01 3.220000000000000084e-01 3.089999999999999969e-01 2.869999999999999774e-01
4.369999999999999996e-01 7.510000000000000009e-01 2.220000000000000029e-01 2.280000000000000082e-01 2.919999999999999818e-01 9.100000000000000311e-01 4.510000000000000120e-01 6.899999999999999467e-01 3.609999999999999876e-01 4.129999999999999782e-01 2.660000000000000142e-01 5.520000000000000462e-01 2.600000000000000089e-01 3.330000000000000182e-01 4.149999999999999800e-01 2.310000000000000109e-01 3.150000000000000022e-01 3.639999999999999902e-01 3.739999999999999991e-01 1.030000000000000027e+00 3.750000000000000000e-01 2.839999999999999747e-01 4.789999999999999813e-01 3.140000000000000013e-01 1.379999999999999933e-03 8.060000000000000497e-01 4.460000000000000075e-01 2.760000000000000231e-01 5.759999999999999565e-01 2.580000000000000071e-01 6.480000000000000204e-01 3.509999999999999787e-01 3.360000000000000209e-01 6.610000000000000320e-01 1.020000000000000018e+00 6.410000000000000142e-01 4.119999999999999774e-01 8.509999999999999787e-01 2.730000000000000204e-01 6.959999999999999520e-01 4.000000000000000222e-01 3.109999999999999987e-01 8.800000000000000044e-01 6.760000000000000453e-01 3.649999999999999911e-01 3.410000000000000253e-01 3.250000000000000111e-01 3.089999999999999969e-01 6.510000000000000231e-01 3.300000000000000155e-01 3.420000000000000262e-01 3.659999999999999920e-01 2.270000000000000073e-01 2.210000000000000020e-01 2.680000000000000160e-01 9.030000000000000249e-01 1.649999999999999991e-03 2.320000000000000118e-01 2.959999999999999853e-01 2.510000000000000009e-01 2.550000000000000044e-01 2.379999999999999893e-01 2.680000000000000160e-01 2.710000000000000187e-01 2.839999999999999747e-01 4.769999999999999796e-01 1.900000000000000022e-01 3.330000000000000182e-01 3.920000000000000151e-01 3.260000000000000120e-01 2.580000000000000071e-01 3.390000000000000235e-01 3.519999999999999796e-01 3.130000000000000004e-01 2.989999999999999880e-01 3.439999999999999725e-01 3.790000000000000036e-01 3.410000000000000253e-01 3.529999999999999805e-01 3.380000000000000226e-01 3.230000000000000093e-01
4.650000000000000244e-01 7.940000000000000391e-01 2.660000000000000142e-01 2.650000000000000133e-01 3.140000000000000013e-01 9.419999999999999485e-01 4.460000000000000075e-01 7.389999999999999902e-01 3.830000000000000071e-01 4.309999999999999942e-01 2.999999999999999889e-01 6.059999999999999831e-01 2.879999999999999782e-01 3.459999999999999742e-01 4.550000000000000155e-01 2.650000000000000133e-01 3.479999999999999760e-01 3.750000000000000000e-01 4.239999999999999880e-01 1.060000000000000053e+00 3.970000000000000195e-01 3.079999999999999960e-01 5.010000000000000009e-01 3.609999999999999876e-01 1.219999999999999947e-03 8.359999999999999654e-01 4.749999999999999778e-01 3.069999999999999951e-01 5.949999999999999734e-01 2.869999999999999774e-01 6.670000000000000373e-01 3.709999999999999964e-01 3.860000000000000098e-01 6.850000000000000533e-01 1.030000000000000027e+00 6.039999999999999813e-01 4.460000000000000075e-01 8.709999999999999964e-01 3.009999999999999898e-01 6.969999999999999529e-01 4.470000000000000084e-01 3.370000000000000218e-01 8.339999999999999636e-01 6.600000000000000311e-01 3.880000000000000115e-01 3.739999999999999991e-01 3.659999999999999920e-01 3.549999999999999822e-01 6.570000000000000284e-01 3.629999999999999893e-01 3.679999999999999938e-01 4.020000000000000240e-01 2.469999999999999973e-01 2.590000000000000080e-01 2.869999999999999774e-01 9.310000000000000497e-01 1.350000000000000071e-03 2.780000000000000249e-01 3.009999999999999898e-01 2.839999999999999747e-01 2.959999999999999853e-01 2.580000000000000071e-01 3.009999999999999898e-01 3.220000000000000084e-01 3.099999999999999978e-01 5.020000000000000018e-01 2.169999999999999984e-01 3.659999999999999920e-01 4.119999999999999774e-01 3.599999999999999867e-01 3.019999999999999907e-01 3.780000000000000027e-01 3.930000000000000160e-01 3.489999999999999769e-01 3.330000000000000182e-01 3.780000000000000027e-01 4.259999999999999898e-01 3.880000000000000115e-01 3.930000000000000160e-01 3.639999999999999902e-01 3.559999999999999831e-01
4.949999999999999956e-01 7.570000000000000062e-01 2.849999999999999756e-01 2.829999999999999738e-01 3.350000000000000200e-01 9.080000000000000293e-01 4.520000000000000129e-01 7.069999999999999618e-01 4.010000000000000231e-01 4.540000000000000147e-01 3.180000000000000049e-01 6.129999999999999893e-01 3.079999999999999960e-01 3.900000000000000133e-01 4.919999999999999929e-01 3.019999999999999907e-01 3.629999999999999893e-01 4.129999999999999782e-01 4.209999999999999853e-01 1.080000000000000071e+00 4.420000000000000040e-01 3.320000000000000173e-01 4.989999999999999991e-01 3.880000000000000115e-01 1.250000000000000026e-03 8.309999999999999609e-01 4.899999999999999911e-01 3.150000000000000022e-01 6.199999999999999956e-01 3.119999999999999996e-01 6.710000000000000409e-01 3.679999999999999938e-01 4.159999999999999809e-01 6.620000000000000329e-01 1.020000000000000018e+00 6.099999999999999867e-01 4.739999999999999769e-01 8.589999999999999858e-01 3.079999999999999960e-01 6.899999999999999467e-01 4.510000000000000120e-01 3.479999999999999760e-01 8.259999999999999565e-01 6.919999999999999485e-01 4.079999999999999738e-01 4.079999999999999738e-01 3.770000000000000018e-01 3.529999999999999805e-01 6.840000000000000524e-01 3.810000000000000053e-01 3.709999999999999964e-01 3.970000000000000195e-01 2.620000000000000107e-01 2.929999999999999827e-01 3.270000000000000129e-01 9.529999999999999583e-01 4.899999999999999842e-04 2.919999999999999818e-01 3.059999999999999942e-01 3.160000000000000031e-01 3.160000000000000031e-01 3.059999999999999942e-01 3.270000000000000129e-01 3.290000000000000147e-01 3.230000000000000093e-01 5.220000000000000195e-01 2.510000000000000009e-01 3.830000000000000071e-01 4.359999999999999987e-01 3.609999999999999876e-01 3.350000000000000200e-01 3.850000000000000089e-01 4.369999999999999996e-01 3.669999999999999929e-01 3.770000000000000018e-01 4.179999999999999827e-01 4.359999999999999987e-01 4.159999999999999809e-01 4.069999999999999729e-01 3.910000000000000142e-01 3.800000000000000044e-01
5.060000000000000053e-01 7.810000000000000275e-01 3.260000000000000120e-01 3.330000000000000182e-01 3.659999999999999920e-01 9.340000000000000524e-01 4.630000000000000226e-01 7.429999999999999938e-01 4.380000000000000004e-01 4.879999999999999893e-01 3.549999999999999822e-01 6.380000000000000115e-01 3.529999999999999805e-01 4.069999999999999729e-01 4.899999999999999911e-01 3.210000000000000075e-01 3.990000000000000213e-01 4.189999999999999836e-01 4.610000000000000209e-01 1.070000000000000062e+00 4.739999999999999769e-01 3.559999999999999831e-01 4.979999999999999982e-01 3.950000000000000178e-01 1.080000000000000014e-03 8.050000000000000488e-01 5.020000000000000018e-01 3.410000000000000253e-01 6.500000000000000222e-01 3.360000000000000209e-01 7.019999999999999574e-01 3.770000000000000018e-01 4.269999999999999907e-01 6.390000000000000124e-01 1.040000000000000036e+00 6.350000000000000089e-01 4.929999999999999938e-01 9.010000000000000231e-01 3.579999999999999849e-01 6.450000000000000178e-01 4.829999999999999849e-01 3.990000000000000213e-01 8.559999999999999831e-01 6.460000000000000187e-01 4.430000000000000049e-01 4.249999999999999889e-01 4.010000000000000231e-01 3.760000000000000009e-01 6.460000000000000187e-01 4.219999999999999862e-01 3.950000000000000178e-01 4.500000000000000111e-01 3.109999999999999987e-01 3.049999999999999933e-01 3.340000000000000191e-01 9.250000000000000444e-01 1.129999999999999928e-03 3.330000000000000182e-01 3.069999999999999951e-01 3.430000000000000271e-01 3.390000000000000235e-01 3.340000000000000191e-01 3.739999999999999991e-01 3.579999999999999849e-01 3.639999999999999902e-01 5.520000000000000462e-01 2.800000000000000266e-01 4.279999999999999916e-01 4.640000000000000235e-01 4.189999999999999836e-01 3.850000000000000089e-01 4.309999999999999942e-01 4.460000000000000075e-01 4.060000000000000275e-01 3.900000000000000133e-01 4.460000000000000075e-01 4.859999999999999876e-01 4.440000000000000058e-01 4.530000000000000138e-01 4.339999999999999969e-01 4.169999999999999818e-01
5.420000000000000373e-01 8.169999999999999485e-01 3.569999999999999840e-01 3.649999999999999911e-01 4.229999999999999871e-01 9.060000000000000275e-01 4.809999999999999831e-01 7.550000000000000044e-01 4.380000000000000004e-01 4.989999999999999991e-01 4.040000000000000258e-01 6.740000000000000435e-01 3.960000000000000187e-01 4.149999999999999800e-01 5.150000000000000133e-01 3.669999999999999929e-01 4.109999999999999765e-01 4.430000000000000049e-01 5.050000000000000044e-01 1.060000000000000053e+00 4.849999999999999867e-01 3.810000000000000053e-01 5.140000000000000124e-01 4.309999999999999942e-01 1.459999999999999926e-03 8.169999999999999485e-01 5.470000000000000417e-01 3.750000000000000000e-01 6.360000000000000098e-01 3.729999999999999982e-01 6.959999999999999520e-01 3.970000000000000195e-01 4.540000000000000147e-01 6.570000000000000284e-01 1.040000000000000036e+00 6.710000000000000409e-01 5.130000000000000115e-01 9.150000000000000355e-01 3.890000000000000124e-01 6.310000000000000053e-01 5.230000000000000204e-01 4.430000000000000049e-01 8.349999999999999645e-01 6.450000000000000178e-01 4.380000000000000004e-01 4.799999999999999822e-01 4.169999999999999818e-01 4.010000000000000231e-01 7.219999999999999751e-01 4.440000000000000058e-01 4.159999999999999809e-01 4.819999999999999840e-01 3.609999999999999876e-01 3.629999999999999893e-01 3.479999999999999760e-01 9.679999999999999716e-01 1.010000000000000047e-03 3.619999999999999885e-01 3.099999999999999978e-01 3.950000000000000178e-01 3.830000000000000071e-01 3.629999999999999893e-01 3.990000000000000213e-01 4.010000000000000231e-01 4.050000000000000266e-01 5.809999999999999609e-01 3.099999999999999978e-01 4.520000000000000129e-01 4.719999999999999751e-01 4.319999999999999951e-01 4.079999999999999738e-01 4.490000000000000102e-01 4.809999999999999831e-01 4.490000000000000102e-01 4.189999999999999836e-01 4.859999999999999876e-01 5.060000000000000053e-01 4.859999999999999876e-01 4.869999999999999885e-01 4.450000000000000067e-01 4.359999999999999987e-01
